"SG_UF";"NM_UE";"CD_CARGO";"NM_CANDIDATO";"DS_SITUACAO_CANDIDATURA";"NR_PARTIDO";"SG_PARTIDO";"NR_IDADE_DATA_POSSE";"CD_GENERO";"CD_GRAU_INSTRUCAO";"CD_COR_RACA";"CD_ESTADO_CIVIL";"ST_REELEICAO";"eleito";"DS_SIT_TOT_TURNO";"NUM_VOTOS"
"AP";"MACAPÁ";13;"GIANCARLO DARLÃ PINON NERY";"APTO";15;"MDB";52;2;8;"01";3;"N";1;"ELEITO POR MEDIA";2893
"AP";"MAZAGÃO";13;"ROSIVALDO DOS SANTOS";"APTO";22;"PL";48;2;8;"03";1;"N";1;"ELEITO POR MEDIA";397
"AP";"PORTO GRANDE";13;"JOSÉ DOMINGOS DE ALMEIDA VAZ";"APTO";12;"PDT";52;2;6;"03";1;"S";2;"ELEITO POR QP";411
"AP";"SANTANA";13;"MÁRIO DA SILVA BRANDÃO";"APTO";22;"PL";53;2;8;"03";3;"N";1;"ELEITO POR MEDIA";881
"AP";"OIAPOQUE";13;"JOSÉ NAZARENO RODRIGUES";"APTO";22;"PL";55;2;8;"03";3;"S";1;"ELEITO POR MEDIA";302
"AP";"MACAPÁ";13;"SEBASTIÃO NELSON SILVA DE SOUZA";"APTO";55;"PSD";64;2;8;"01";3;"N";1;"ELEITO POR MEDIA";3352
"AP";"MAZAGÃO";13;"SAULO LOPES BAIA";"APTO";17;"PSL";41;2;6;"03";1;"N";1;"ELEITO POR MEDIA";443
"AP";"CUTIAS";13;"HORTENCIA COELHO MIRA";"APTO";25;"DEM";26;4;6;"03";1;"N";2;"ELEITO POR QP";213
"AP";"PORTO GRANDE";13;"ELIENAI DOS SANTOS SILVA SANTANA";"APTO";17;"PSL";37;4;8;"03";3;"N";1;"ELEITO POR MEDIA";201
"AP";"OIAPOQUE";13;"LUIZ FERNANDO ANIKA DOS SANTOS";"APTO";70;"AVANTE";24;2;6;"03";1;"N";1;"ELEITO POR MEDIA";251
"AP";"FERREIRA GOMES";13;"ALCEU SERRA RABELO";"APTO";11;"PP";35;2;6;"03";3;"N";2;"ELEITO POR QP";203
"AP";"PRACUÚBA";13;"JOILSON GUIMARÃES PASSOS";"APTO";25;"DEM";43;2;4;"03";1;"N";2;"ELEITO POR QP";149
"AP";"FERREIRA GOMES";13;"WELLINGTON BRAGA COSTA";"APTO";11;"PP";38;2;6;"03";3;"N";1;"ELEITO POR MEDIA";178
"AP";"PORTO GRANDE";13;"ALEX LOPES DE SOUZA";"APTO";11;"PP";41;2;6;"03";3;"N";1;"ELEITO POR MEDIA";291
"AP";"CALÇOENE";13;"RENATO JUNIOR MENDES COSTA";"APTO";11;"PP";32;2;6;"02";1;"N";2;"ELEITO POR QP";190
"AP";"MACAPÁ";13;"CARLOS EDUARDO PIMENTEL BARBOSA";"APTO";22;"PL";21;2;7;"01";1;"N";2;"ELEITO POR QP";3402
"AP";"PEDRA BRANCA DO AMAPARI";13;"RAIMUNDO NONATO DE ARAÚJO BENVINDO";"APTO";25;"DEM";56;2;3;"03";3;"S";2;"ELEITO POR QP";369
"AP";"PEDRA BRANCA DO AMAPARI";13;"MATEUS DE SOUZA SILVA";"APTO";45;"PSDB";26;2;8;"02";1;"N";2;"ELEITO POR QP";389
"AP";"ITAUBAL";13;"AILTON BRUNO LIBERATO CRUZ";"APTO";25;"DEM";26;2;7;"03";1;"N";2;"ELEITO POR QP";276
"AP";"OIAPOQUE";13;"REGINALDO SILVA MARQUES";"APTO";17;"PSL";41;2;6;"03";3;"N";1;"ELEITO POR MEDIA";185
"AP";"FERREIRA GOMES";13;"ALEXANDRO BRAZÃO FERREIRA";"APTO";11;"PP";34;2;8;"01";3;"N";1;"ELEITO POR MEDIA";168
"AP";"CUTIAS";13;"WAGNER OLIVEIRA BARRETO";"APTO";90;"PROS";40;2;6;"03";1;"S";1;"ELEITO POR MEDIA";155
"AP";"CUTIAS";13;"EDIVAN DOS SANTOS SANTOS";"APTO";90;"PROS";42;2;6;"03";1;"S";2;"ELEITO POR QP";215
"AP";"MACAPÁ";13;"MANOEL CAETANO BENTES MONTEIRO NETO";"APTO";18;"REDE";39;2;6;"02";3;"N";2;"ELEITO POR QP";3111
"AP";"OIAPOQUE";13;"LILIA RAMOS OLIVEIRA";"APTO";10;"REPUBLICANOS";30;4;7;"05";1;"N";2;"ELEITO POR QP";236
"AP";"FERREIRA GOMES";13;"JOAO MENDES CAMPOS FERREIRA";"APTO";10;"REPUBLICANOS";54;2;8;"03";1;"N";2;"ELEITO POR QP";132
"AP";"CUTIAS";13;"JANIO RABELO MOURÃO";"APTO";19;"PODE";49;2;6;"03";1;"N";2;"ELEITO POR QP";126
"AP";"LARANJAL DO JARI";13;"AMERICO PINHEIRO DOS SANTOS";"APTO";10;"REPUBLICANOS";41;2;8;"03";3;"N";1;"ELEITO POR MEDIA";469
"AP";"FERREIRA GOMES";13;"JACI BRAZAO DOS REIS";"APTO";55;"PSD";42;2;3;"03";3;"N";2;"ELEITO POR QP";128
"AP";"ITAUBAL";13;"DARLIETE TAVARES PALMERIM";"APTO";17;"PSL";42;4;8;"03";1;"S";1;"ELEITO POR MEDIA";176
"AP";"OIAPOQUE";13;"MARCELO MARTINS GUIMARAES";"APTO";25;"DEM";37;2;8;"03";3;"N";2;"ELEITO POR QP";342
